Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bedroom2,Bathroom,Car,BuildingArea,CouncilArea,Lattitude,Longtitude,Propertycount,Age,metropolitan,victoria,Missing_Price
Brighton,5,h,2100000,2016-04-16,11.2,3186,5,5,2.0,219.0,Bayside,-37.9012,144.997,10579,105.0,1,0,0
Watsonia,3,h,1040000,2016-04-16,14.9,3087,3,2,1.0,131.0,Banyule,-37.7085,145.0824,2329,75.0,1,0,0
Viewbank,3,h,775000,2016-04-16,13.8,3084,5,3,2.0,126.0,Banyule,-37.7405,145.0886,2698,50.0,1,0,0
Preston,2,h,920000,2016-04-16,8.8,3072,2,2,2.0,97.0,Darebin,-37.7497,145.011,14577,90.0,1,0,0
Brunswick,2,h,830000,2016-04-16,5.2,3056,2,1,1.0,126.0,Moreland,-37.7572,144.9686,11918,99.0,1,0,0
Thornbury,3,h,995000,2016-04-16,6.5,3071,2,1,1.0,96.0,Darebin,-37.7574,144.9854,8870,105.0,1,0,0
Keilor East,3,t,705000,2016-04-16,12.8,3033,3,2,1.0,156.0,Moonee Valley,-37.7517,144.8776,5629,30.0,1,0,0
Surrey Hills,4,h,1850000,2016-04-16,11.2,3127,5,2,2.0,292.0,Whitehorse,-37.8345,145.1009,5457,55.0,1,0,0
Surrey Hills,4,h,2050000,2016-04-16,11.2,3127,3,2,2.0,293.0,Boroondara,-37.8188,145.0984,5457,115.0,1,0,0
Hughesdale,2,u,455000,2016-04-16,13.0,3166,2,1,2.0,60.0,Monash,-37.8942,145.0867,3145,65.0,1,0,0
Camberwell,4,h,1400000,2016-04-16,7.8,3124,3,0,0.0,126.0,Boroondara,-37.836,145.0914,8920,90.0,1,0,0
Niddrie,4,h,850000,2016-04-16,11.2,3042,4,3,2.0,126.0,Moonee Valley,-37.7317,144.8751,2291,44.5,1,0,0
Camberwell,3,h,1800000,2016-04-16,7.8,3124,3,2,0.0,213.0,Boroondara,-37.8349,145.0758,8920,105.0,1,0,0
Heidelberg,4,h,1115000,2016-04-16,10.6,3084,4,4,2.0,126.0,Banyule,-37.7476,145.0676,2890,75.0,1,0,0
Heidelberg,3,h,750000,2016-04-16,10.6,3084,3,1,2.0,140.0,Banyule,-37.7494,145.0703,2890,70.0,1,0,0
Niddrie,3,h,1076000,2016-04-16,11.2,3042,3,1,1.0,126.0,Moonee Valley,-37.7412,144.8888,2291,44.5,1,0,0
Camberwell,2,h,895000,2016-04-16,7.8,3124,2,1,1.0,95.0,Boroondara,-37.8465,145.0743,8920,95.0,1,0,0
Camberwell,3,h,2250000,2016-04-16,7.8,3124,3,2,2.0,225.0,Boroondara,-37.841,145.0824,8920,16.0,1,0,0
Burwood,2,h,1350000,2016-04-16,11.7,3125,2,1,2.0,82.0,Whitehorse,-37.8444,145.1054,5678,75.0,1,0,0
Altona,3,u,730000,2016-04-16,13.8,3018,3,2,1.0,126.0,Hobsons Bay,-37.868,144.8287,5301,42.5,1,0,0
South Kingsville,4,t,915000,2016-04-16,9.1,3015,4,3,1.0,265.0,Hobsons Bay,-37.8307,144.8725,984,9.0,1,0,0
Altona,3,h,678000,2016-04-16,13.8,3018,3,1,2.0,87.0,Hobsons Bay,-37.8608,144.8124,5301,75.0,1,0,0
Ivanhoe,2,u,460000,2016-04-16,7.9,3079,2,0,0.0,126.0,Banyule,-37.7662,145.0516,5549,62.5,1,0,0
Templestowe Lower,3,h,1010000,2016-04-16,13.8,3107,3,2,2.0,175.0,Manningham,-37.77,145.1025,5420,57.0,1,0,0
Bulleen,4,h,1000000,2016-04-16,11.8,3105,4,2,3.0,212.0,Manningham,-37.7689,145.0895,4480,55.0,1,0,0
Brunswick West,2,h,910000,2016-04-16,5.9,3055,2,1,4.0,126.0,Moreland,-37.7578,144.9439,7082,65.0,1,0,0
Brunswick West,2,h,711000,2016-04-16,5.9,3055,2,1,1.0,87.0,Moreland,-37.7619,144.9412,7082,115.0,1,0,0
Thornbury,3,h,898000,2016-04-16,6.5,3071,3,2,2.0,108.0,Darebin,-37.7551,144.9993,8870,15.0,1,0,0
Thornbury,3,h,1235000,2016-04-16,6.5,3071,3,3,1.0,133.0,Darebin,-37.7583,145.0025,8870,105.0,1,0,0
Thornbury,3,t,910500,2016-04-16,6.5,3071,3,2,2.0,144.0,Darebin,-37.759,144.988,8870,15.0,1,0,0
Prahran,2,u,530000,2016-04-16,4.5,3181,2,1,1.0,76.0,Stonnington,-37.851,144.988,7717,137.0,1,0,0
Thornbury,2,h,760000,2016-04-16,6.5,3071,2,1,0.0,75.0,Darebin,-37.7595,145.0061,8870,125.0,1,0,0
Thornbury,2,u,505000,2016-04-16,6.5,3071,2,1,0.0,80.0,Darebin,-37.7591,145.0211,8870,45.0,1,0,0
Keilor East,3,h,630000,2016-04-16,12.8,3033,2,2,1.0,126.0,Moonee Valley,-37.7504,144.8594,5629,45.0,1,0,0
Keilor East,4,h,835000,2016-04-16,12.8,3033,4,2,3.0,184.0,Moonee Valley,-37.7452,144.8652,5629,35.0,1,0,0
Ivanhoe,3,t,750000,2016-04-16,7.9,3079,3,1,1.0,126.0,Banyule,-37.765,145.0407,5549,35.0,1,0,0
Kew East,4,h,2081000,2016-04-16,7.5,3102,3,4,3.0,311.0,Boroondara,-37.7881,145.0631,2671,65.0,1,0,0
Box Hill,4,h,1600000,2016-04-16,13.1,3128,4,2,1.0,195.0,Whitehorse,-37.8247,145.1281,4605,135.0,1,0,0
Williamstown,4,h,1805000,2016-04-16,8.0,3016,3,2,2.0,160.0,Hobsons Bay,-37.8621,144.8872,6380,95.0,1,0,0
Maribyrnong,3,t,865000,2016-04-16,8.7,3032,3,2,2.0,3.0,Maribyrnong,-37.7855,144.8958,4918,15.0,1,0,0
Maribyrnong,2,u,488000,2016-04-16,8.7,3032,2,2,2.0,126.0,Maribyrnong,-37.7752,144.8925,4918,25.0,1,0,0
Maribyrnong,4,h,940000,2016-04-16,8.7,3032,4,2,1.0,126.0,Maribyrnong,-37.7822,144.892,4918,21.0,1,0,0
Maribyrnong,2,t,570000,2016-04-16,8.7,3032,3,1,2.0,128.0,Maribyrnong,-37.7677,144.8925,4918,16.0,1,0,0
Balwyn North,4,h,3360000,2016-04-16,9.2,3104,4,3,1.0,420.0,Boroondara,-37.797,145.086,7809,22.0,1,0,0
Balwyn North,4,h,2525000,2016-04-16,9.2,3104,4,2,2.0,196.0,Boroondara,-37.7988,145.089,7809,65.0,1,0,0
Balwyn North,4,h,2170000,2016-04-16,9.2,3104,4,2,2.0,126.0,Boroondara,-37.7992,145.0907,7809,65.0,1,0,0
Bellfield,3,h,770000,2016-04-16,9.5,3081,3,1,4.0,126.0,Banyule,-37.7529,145.0406,790,65.0,1,0,0
Brunswick East,2,u,510000,2016-04-16,4.5,3057,2,1,1.0,126.0,Moreland,-37.7671,144.9746,5533,55.0,1,0,0
Brunswick East,3,h,1574000,2016-04-16,4.5,3057,3,3,2.0,207.0,Moreland,-37.7664,144.9797,5533,18.0,1,0,0
Middle Park,2,u,700000,2016-04-16,4.1,3206,2,1,1.0,67.0,Port Phillip,-37.8556,144.9669,2019,55.0,1,0,0
Balwyn,2,u,460000,2016-04-16,9.7,3103,2,1,1.0,79.0,Boroondara,-37.8152,145.0839,5682,75.0,1,0,0
Balwyn,5,h,2020000,2016-04-16,9.7,3103,5,2,2.0,126.0,Boroondara,-37.8116,145.0789,5682,50.0,1,0,0
Pascoe Vale,3,u,515000,2016-04-16,9.9,3044,3,1,2.0,126.0,Moreland,-37.7305,144.9397,7485,55.0,1,0,0
Pascoe Vale,4,h,970000,2016-04-16,9.9,3044,3,2,1.0,154.0,Moreland,-37.7282,144.9462,7485,105.0,1,0,0
Burnley,2,h,881000,2016-04-16,3.5,3121,2,1,1.0,94.0,Yarra,-37.8283,145.012,438,125.0,1,0,0
Avondale Heights,3,h,560500,2016-04-16,10.5,3034,3,1,1.0,126.0,Moonee Valley,-37.7664,144.8583,4502,55.0,1,0,0
Avondale Heights,3,u,665000,2016-04-16,10.5,3034,3,2,1.0,126.0,Moonee Valley,-37.7644,144.8657,4502,55.0,1,0,0
Moonee Ponds,3,h,1370000,2016-04-16,6.9,3039,3,1,2.0,126.0,Moonee Valley,-37.7702,144.9266,6232,95.0,1,0,0
Moonee Ponds,3,h,1400000,2016-04-16,6.9,3039,3,2,2.0,160.0,Moonee Valley,-37.7699,144.9149,6232,135.0,1,0,0
Moonee Ponds,4,h,1310000,2016-04-16,6.9,3039,3,3,2.0,126.0,Moonee Valley,-37.7609,144.9285,6232,95.0,1,0,0
Moonee Ponds,4,h,1833000,2016-04-16,6.9,3039,4,1,1.0,126.0,Moonee Valley,-37.7682,144.9151,6232,95.0,1,0,0
Ascot Vale,4,h,1640000,2016-04-16,5.9,3032,4,3,2.0,204.0,Moonee Valley,-37.782,144.903,6567,135.0,1,0,0
Ascot Vale,6,h,1430000,2016-04-16,5.9,3032,4,2,1.0,286.0,Moonee Valley,-37.78,144.9295,6567,125.0,1,0,0
Ascot Vale,2,u,610000,2016-04-16,5.9,3032,2,1,1.0,104.0,Moonee Valley,-37.7791,144.914,6567,30.0,1,0,0
Ascot Vale,3,h,940000,2016-04-16,5.9,3032,3,3,1.0,127.0,Moonee Valley,-37.7727,144.9136,6567,75.0,1,0,0
Ashburton,2,h,1445000,2016-04-16,11.0,3147,2,1,2.0,126.0,Boroondara,-37.8745,145.0738,3052,75.0,1,0,0
Moorabbin,3,t,785000,2016-04-16,14.6,3189,3,2,2.0,126.0,Kingston,-37.9385,145.0397,2555,65.0,1,0,0
Fawkner,4,h,615000,2016-04-16,12.4,3060,4,2,3.0,126.0,Moreland,-37.697,144.9655,5070,48.0,1,0,0
Yarraville,2,h,822000,2016-04-16,7.0,3013,2,1,3.0,126.0,Maribyrnong,-37.8152,144.8703,6543,75.0,1,0,0
Yarraville,3,h,955000,2016-04-16,7.0,3013,3,1,1.0,126.0,Maribyrnong,-37.8196,144.8839,6543,75.0,1,0,0
Yarraville,3,h,950000,2016-04-16,7.0,3013,3,1,2.0,84.0,Maribyrnong,-37.8202,144.8896,6543,145.0,1,0,0
Yarraville,1,u,345000,2016-04-16,7.0,3013,1,1,1.0,47.0,Maribyrnong,-37.8111,144.887,6543,55.0,1,0,0
Williamstown,4,h,1126000,2016-04-16,8.0,3016,4,1,1.0,150.0,Hobsons Bay,-37.8525,144.8945,6380,125.0,1,0,0
Williamstown,3,t,935000,2016-04-16,8.0,3016,3,2,1.0,194.0,Hobsons Bay,-37.8573,144.8911,6380,23.0,1,0,0
Maidstone,2,u,349000,2016-04-16,9.2,3012,2,1,1.0,69.0,Maribyrnong,-37.7795,144.8729,3873,14.0,1,0,0
Surrey Hills,2,u,550000,2016-04-16,11.2,3127,2,1,1.0,126.0,Whitehorse,-37.8291,145.1015,5457,75.0,1,0,0
Malvern,3,h,1437000,2016-04-16,7.4,3144,2,1,1.0,132.0,Stonnington,-37.8511,145.0317,4675,115.0,1,0,0
Port Melbourne,3,h,1670000,2016-04-16,3.8,3207,3,2,1.0,169.0,Port Phillip,-37.8353,144.9442,8648,145.0,1,0,0
Port Melbourne,3,t,1565000,2016-04-16,3.8,3207,3,1,2.0,126.0,Port Phillip,-37.8371,144.9478,8648,25.0,1,0,0
Bentleigh East,4,h,1035000,2016-04-16,13.9,3165,3,1,2.0,160.0,Glen Eira,-37.9193,145.0691,10969,75.0,1,0,0
Bentleigh East,3,h,921000,2016-04-16,13.9,3165,3,2,1.0,119.0,Glen Eira,-37.919,145.0829,10969,25.0,1,0,0
Bentleigh East,3,h,930000,2016-04-16,13.9,3165,3,1,2.0,133.0,Glen Eira,-37.9286,145.069,10969,65.0,1,0,0
Bentleigh East,2,h,722000,2016-04-16,13.9,3165,2,2,1.0,79.0,Glen Eira,-37.9293,145.0657,10969,20.0,1,0,0
Armadale,1,u,324000,2016-04-16,6.3,3143,1,1,1.0,126.0,Stonnington,-37.8537,145.0114,4836,65.0,1,0,0
Bentleigh East,4,h,800000,2016-04-16,13.9,3165,4,2,2.0,126.0,Glen Eira,-37.9278,145.08100000000005,10969,55.0,1,0,0
Bentleigh East,3,h,1560000,2016-04-16,13.9,3165,3,1,2.0,126.0,Glen Eira,-37.9217,145.056,10969,55.0,1,0,0
Williamstown,3,h,906000,2016-04-16,8.0,3016,3,2,2.0,126.0,Hobsons Bay,-37.8608,144.8803,6380,45.0,1,0,0
Bentleigh East,3,h,1050000,2016-04-16,13.9,3165,3,1,4.0,131.0,Glen Eira,-37.9117,145.0695,10969,75.0,1,0,0
Malvern East,3,h,1915000,2016-04-16,11.2,3145,3,2,2.0,126.0,Stonnington,-37.8807,145.0547,8801,105.0,1,0,0
Malvern East,4,h,1690000,2016-04-16,11.2,3145,4,2,2.0,126.0,Stonnington,-37.8743,145.0588,8801,105.0,1,0,0
Yarraville,3,h,1055000,2016-04-16,7.0,3013,3,1,3.0,116.0,Maribyrnong,-37.8134,144.8745,6543,85.0,1,0,0
Hawthorn East,4,h,2920000,2016-04-16,7.5,3123,4,3,3.0,126.0,Boroondara,-37.8239,145.0553,6482,60.0,1,0,0
Yarraville,3,t,620000,2016-04-16,7.0,3013,3,3,1.0,141.0,Maribyrnong,-37.8194,144.8826,6543,11.0,1,0,0
Newport,3,t,735000,2016-04-16,8.4,3015,3,2,2.0,162.0,Hobsons Bay,-37.8436,144.8691,5498,18.0,1,0,0
Hawthorn East,3,u,735000,2016-04-16,7.5,3123,2,1,1.0,95.0,Boroondara,-37.8414,145.0505,6482,55.0,1,0,0
Newport,4,h,970000,2016-04-16,8.4,3015,3,1,1.0,151.0,Hobsons Bay,-37.839,144.8854,5498,110.0,1,0,0
Newport,2,h,740000,2016-04-16,8.4,3015,2,2,1.0,127.0,Hobsons Bay,-37.8441,144.8805,5498,19.0,1,0,0
Newport,3,h,716000,2016-04-16,8.4,3015,3,1,2.0,126.0,Hobsons Bay,-37.8472,144.8754,5498,69.0,1,0,0
Yarraville,4,h,660000,2016-04-16,7.0,3013,4,1,2.0,126.0,Maribyrnong,-37.8212,144.8887,6543,115.0,1,0,0
Yarraville,3,h,681000,2016-04-16,7.0,3013,2,1,1.0,126.0,Maribyrnong,-37.8183,144.8666,6543,75.0,1,0,0
Bentleigh,4,h,1560000,2016-04-16,13.0,3204,4,3,1.0,126.0,Glen Eira,-37.9149,145.0469,6795,60.0,1,0,0
Bentleigh,3,h,1327500,2016-04-16,13.0,3204,3,1,2.0,126.0,Glen Eira,-37.9228,145.0476,6795,60.0,1,0,0
Bentleigh East,3,t,920000,2016-04-16,13.9,3165,3,2,1.0,126.0,Glen Eira,-37.9112,145.0738,10969,55.0,1,0,0
Surrey Hills,5,h,1350000,2016-04-16,11.2,3127,3,2,2.0,126.0,Whitehorse,-37.8316,145.1049,5457,77.0,1,0,0
Ivanhoe,1,u,420000,2016-04-16,7.9,3079,1,1,1.0,126.0,Banyule,-37.7772,145.0414,5549,55.0,1,0,0
Heidelberg West,2,h,497500,2016-04-16,9.4,3081,2,1,2.0,126.0,Banyule,-37.7443,145.0454,2674,65.0,1,0,0
Heidelberg West,2,u,360000,2016-04-16,9.4,3081,2,1,1.0,85.0,Banyule,-37.7444,145.047,2674,55.0,1,0,0
Essendon,2,u,800000,2016-04-16,8.0,3040,2,1,2.0,126.0,Moonee Valley,-37.7498,144.9048,9264,55.0,1,0,0
Essendon,5,h,1575000,2016-04-16,8.0,3040,5,3,2.0,454.0,Moonee Valley,-37.7461,144.9173,9264,37.0,1,0,0
Collingwood,3,u,1470000,2016-04-16,1.6,3066,3,2,2.0,126.0,Yarra,-37.8037,144.9846,4553,105.0,1,0,0
Collingwood,3,h,1075000,2016-04-16,1.6,3066,3,1,0.0,104.0,Yarra,-37.7948,144.9875,4553,145.0,1,0,0
Hadfield,3,t,510000,2016-04-16,12.1,3046,3,2,2.0,115.0,Moreland,-37.707,144.9411,2606,13.0,1,0,0
North Melbourne,2,u,606000,2016-04-16,2.3,3051,2,1,2.0,84.0,Melbourne,-37.8022,144.9439,6821,25.0,1,0,0
North Melbourne,2,u,440000,2016-04-16,2.3,3051,2,1,1.0,126.0,Melbourne,-37.8004,144.9465,6821,65.0,1,0,0
Essendon,1,u,280000,2016-04-16,8.0,3040,1,1,1.0,49.0,Moonee Valley,-37.7475,144.9194,9264,65.0,1,0,0
Strathmore,4,h,1430000,2016-04-16,9.7,3041,4,2,1.0,224.0,Moonee Valley,-37.7376,144.9154,3284,35.0,1,0,0
Strathmore,5,h,915000,2016-04-16,9.7,3041,5,3,4.0,126.0,Moonee Valley,-37.7298,144.9162,3284,55.0,1,0,0
Essendon,4,h,1467000,2016-04-16,8.0,3040,3,2,1.0,145.0,Moonee Valley,-37.7439,144.9195,9264,105.0,1,0,0
Essendon,3,h,770000,2016-04-16,8.0,3040,3,1,0.0,126.0,Moonee Valley,-37.754,144.92600000000004,9264,55.0,1,0,0
Essendon,2,u,446000,2016-04-16,8.0,3040,2,1,1.0,126.0,Moonee Valley,-37.7534,144.9242,9264,55.0,1,0,0
Jacana,3,h,425000,2016-04-16,14.5,3047,3,1,2.0,90.0,Hume,-37.687,144.9084,851,50.0,1,0,0
Essendon,2,h,890000,2016-04-16,8.0,3040,2,1,1.0,108.0,Moonee Valley,-37.7445,144.9133,9264,75.0,1,0,0
Rosanna,6,h,1245000,2016-04-16,11.4,3084,3,3,4.0,126.0,Banyule,-37.7312,145.0635,3540,65.0,1,0,0
Jacana,2,u,280000,2016-04-16,14.5,3047,2,1,1.0,126.0,Hume,-37.6859,144.9164,851,65.0,1,0,0
Elwood,2,u,686000,2016-04-16,7.7,3184,2,1,1.0,126.0,Port Phillip,-37.8716,144.9869,8989,55.0,1,0,0
Northcote,2,h,888000,2016-04-16,5.5,3070,2,1,1.0,102.0,Darebin,-37.7667,144.9909,11364,40.0,1,0,0
Coburg,2,u,485000,2016-04-16,7.8,3058,2,2,1.0,96.0,Moreland,-37.7367,144.9701,11204,145.0,1,0,0
Coburg,4,h,865000,2016-04-16,7.8,3058,4,1,1.0,125.0,Moreland,-37.7525,144.94799999999995,11204,100.0,1,0,0
Sunshine,3,h,610000,2016-04-16,12.6,3020,3,1,0.0,118.0,Brimbank,-37.8005,144.822,3755,60.0,1,0,0
South Yarra,2,u,515000,2016-04-16,3.3,3141,2,1,1.0,65.0,Stonnington,-37.8433,144.9962,14887,12.0,1,0,0
Sunshine,3,h,600000,2016-04-16,12.6,3020,3,1,1.0,126.0,Brimbank,-37.7796,144.8455,3755,75.0,1,0,0
Gowanbrae,3,h,485000,2016-04-16,13.6,3043,3,2,1.0,134.0,Moreland,-37.7076,144.8961,1071,21.0,1,0,0
Doncaster,3,h,1485000,2016-04-16,13.9,3108,3,2,2.0,140.0,Manningham,-37.7892,145.131,9028,65.0,1,0,0
Elwood,3,h,1700000,2016-04-16,7.7,3184,3,2,2.0,126.0,Port Phillip,-37.875,144.9813,8989,115.0,1,0,0
Northcote,2,h,1020000,2016-04-16,5.5,3070,2,1,1.0,97.0,Darebin,-37.7638,144.9933,11364,105.0,1,0,0
Northcote,3,h,1160000,2016-04-16,5.5,3070,2,3,2.0,126.0,Darebin,-37.7684,145.0099,11364,105.0,1,0,0
Southbank,1,u,425000,2016-04-16,1.2,3006,1,1,1.0,57.0,Melbourne,-37.8245,144.9622,8400,21.0,1,0,0
Ormond,4,h,1500000,2016-04-16,11.8,3204,4,2,2.0,153.0,Glen Eira,-37.8993,145.0447,3578,55.0,1,0,0
Elwood,2,u,765000,2016-04-16,7.7,3184,2,1,0.0,88.0,Port Phillip,-37.8809,144.9833,8989,85.0,1,0,0
Northcote,2,h,844000,2016-04-16,5.5,3070,2,1,1.0,106.0,Darebin,-37.7642,144.9963,11364,30.0,1,0,0
Northcote,3,h,1860000,2016-04-16,5.5,3070,2,3,1.0,126.0,Darebin,-37.7792,144.9951,11364,105.0,1,0,0
Spotswood,3,h,831000,2016-04-16,7.7,3015,3,1,0.0,109.0,Hobsons Bay,-37.8309,144.889,1223,135.0,1,0,0
Glenroy,3,h,525000,2016-04-16,13.0,3046,3,1,1.0,85.0,Moreland,-37.6966,144.9331,8870,75.0,1,0,0
Elsternwick,2,u,741000,2016-04-16,8.5,3185,3,1,1.0,1561.0,Glen Eira,-37.8829,145.0033,4898,59.0,1,0,0
Elsternwick,3,h,2345000,2016-04-16,8.5,3185,3,2,1.0,204.0,Glen Eira,-37.8817,145.0126,4898,117.0,1,0,0
Elsternwick,3,h,1800000,2016-04-16,8.5,3185,3,2,2.0,181.0,Glen Eira,-37.8789,145.0048,4898,120.0,1,0,0
Airport West,3,h,830000,2016-04-16,13.5,3042,3,1,2.0,113.0,Moonee Valley,-37.7186,144.876,3464,65.0,1,0,0
Elsternwick,3,t,1071000,2016-04-16,8.5,3185,3,2,2.0,125.0,Glen Eira,-37.8961,145.0125,4898,25.0,1,0,0
Richmond,2,u,638000,2016-04-16,2.6,3121,2,2,1.0,77.0,Yarra,-37.822,145.0104,14949,17.0,1,0,0
Richmond,4,h,3001000,2016-04-16,2.6,3121,2,3,1.0,241.0,Yarra,-37.8152,144.9922,14949,105.0,1,0,0
Richmond,3,t,911000,2016-04-16,2.6,3121,3,2,1.0,110.0,Yarra,-37.8238,145.0072,14949,25.0,1,0,0
Richmond,3,h,1088000,2016-04-16,2.6,3121,3,3,2.0,120.0,Yarra,-37.8126,145.0064,14949,110.0,1,0,0
St Kilda,2,u,503500,2016-04-16,6.1,3182,2,1,1.0,72.0,Port Phillip,-37.8594,144.9828,13240,85.0,1,0,0
